title,city,theme,dimmed,reclaimed
"First Robotics Team","Edmonton","Underrepresentation","When I joined the high school robotics team, I was the only Black student in a group of eight. During meetings, I often felt overlooked, and my ideas were sometimes dismissed without consideration. I hesitated to speak up, worried my presence was being tolerated rather than valued.","I began preparing more thoroughly for each meeting, documenting my ideas, and asking for specific roles in projects. Slowly, my contributions were recognized, and the team sought my input on critical decisions. By asserting my knowledge and initiative, I reclaimed my voice and helped make the environment more inclusive for future members."
"Math Class Participation","Toronto","Academic Streaming","In advanced calculus, I noticed that whenever I offered an answer or explanation, the teacher would sometimes reframe it as if someone else had said it. I started to feel invisible, questioning if my understanding mattered.","I decided to engage more deliberately, asking clarifying questions and volunteering to present solutions on the board. Over time, the teacher began calling on me by name, and classmates recognized my contributions. The experience showed me that confidence and persistence can transform how others perceive you, allowing your light to shine in spaces where it was once dimmed."
"Debate Team Stereotypes","Montreal","Stereotype Threat","During debate practice, a teammate expressed surprise when I referenced historical evidence outside the standard curriculum. It made me feel that my intellect was being underestimated based on my identity rather than my skills.","I worked to demonstrate my research abilities consistently and offered to mentor new members. By consistently contributing and being prepared, I gained respect, challenged assumptions, and reclaimed my narrative as someone capable of excellence beyond expectations."
"Choir Leadership","Vancouver","Underrepresentation","As a candidate for choir leadership, I noticed that some of the committee members seemed hesitant to nominate me, despite my experience. It felt like my race was influencing their assumptions about my suitability.","I prepared a detailed plan, highlighting past accomplishments and leadership ideas. I spoke confidently during auditions and shared my vision for the choir. I was elected, and my leadership approach created a more inclusive environment for everyone. Reclaiming my light involved demonstrating competence and fostering representation."
"Science Fair Isolation","Calgary","Underrepresentation","While preparing for the regional science fair, I realized I was the only student of color presenting a major project. I hesitated to ask questions in group workshops, fearing my ideas would be ignored or dismissed.","I reached out to mentors outside of school and connected with other students via online STEM communities. I presented my project confidently, received positive feedback, and formed connections with peers who shared similar experiences. The experience taught me that seeking community and mentorship is key to reclaiming confidence in spaces where one feels unseen."
"Classroom Misjudgment","Winnipeg","Microaggressions","During a group assignment, I noticed my classmates automatically assumed I would take notes or handle logistics because of my identity, while my academic input was overlooked. It left me feeling undervalued and frustrated.","I proactively offered my ideas and requested to lead discussions in subsequent projects. Gradually, classmates began to acknowledge my contributions, and I was able to steer group work in ways that highlighted my strengths. Reclaiming my light required intentional participation and setting boundaries around how my skills were perceived."
"Music Program Doubts","Toronto","Stereotype Threat","Joining the school jazz band, I felt some instructors doubted my musicality because I didn’t have formal private lessons. I questioned whether I was accepted for my talent or despite it.","I committed to practicing rigorously and volunteering to perform solos. Over time, instructors praised my performance, and I was offered leadership roles in the ensemble. By demonstrating skill and perseverance, I reclaimed my confidence and showed that assumptions do not define ability."
"History Class Neglect","Edmonton","Academic Streaming","During a unit on world history, my questions about African civilizations were met with silence or quick redirects. It made me feel that my perspective was unimportant and that the curriculum didn’t see me.","I started preparing discussion points and resources in advance and respectfully shared them in class. Teachers and classmates began to engage with my contributions, sparking broader conversations about inclusive perspectives. Reclaiming my light meant using preparation and persistence to make my voice central to the discussion."
"Peer Study Exclusion","Montreal","Microaggressions","I often found that study groups formed without me, and when I joined, my suggestions were ignored or undervalued. It left me feeling excluded and questioning my academic worth.","I reached out to classmates individually to organize study sessions and took initiative in setting agendas. Gradually, my leadership in study activities was recognized, and my peers began valuing my insights. By taking proactive steps, I reclaimed my light and established meaningful academic connections."
"Volunteer Leadership Challenge","Vancouver","Underrepresentation","At a community volunteer program, I was consistently passed over for leadership roles despite relevant experience. I sensed the decision-makers doubted my ability because of assumptions about my background.","I requested feedback and highlighted my past volunteer successes. I also collaborated closely with other leaders to demonstrate my skills. Eventually, I was entrusted with leading projects, and I created mentoring opportunities for others from underrepresented groups. Reclaiming my light involved advocacy, persistence, and showing capability through consistent action."
